Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
TcChr04b01711.t1,-0.044,-2.118,0.003
TcChr04b01717.t1,-0.027,-5.735,0.002
TcChr04b01723.t1,-0.027,-2.901,0.008
TcChr04b01729.t1,-0.026,-2.667,0.002
TcChr04b01735.t1,-0.066,-0.574,0.006
TcChr04b01742.t1,-0.048,-2.262,0.006
TcChr04b01748.t1,-0.025,-38.4,0.002
TcChr04b01754.t1,-0.027,-2.223,0.012
TcChr04b01768.t1,-0.02,-7.825,0.004
TcChr04b01769.t1,-0.039,-2.832,0.004
TcChr04b01770.t1,-0.03,-4.2,0.003
TcChr04b01771.t1,-0.033,-16.768,0.005
TcChr04b01772.t1,-0.034,-4.742,0.007
TcChr04b01774.t1,-0.03,-7.186,0.002
TcChr04b01775.t1,-0.021,-3.461,0.002
TcChr04b01776.t1,-0.052,-3.349,0.005
TcChr04b01777.t1,-0.064,-4.04,0.008
TcChr04b01778.t1,-0.056,-7.019,0.008
TcChr04b01779.t1,-0.042,-6.657,0.006
TcChr04b01781.t1,-0.051,-10.694,0.007
TcChr04b01782.t1,-0.034,-11.446,0.006
TcChr04b01783.t1,-0.053,-4.148,0.006
TcChr04b01784.t1,-0.037,-6.218,0.007
TcChr04b01785.t1,-0.064,-1.727,0.009
TcChr04b01787.t1,-0.036,-1.309,0.007
TcChr04b01788.t1,-0.023,-15.145,0.002
TcChr04b01789.t1,-0.031,-1.144,0.002
TcChr04b01790.t1,-0.032,-2.493,0.002
TcChr04b01791.t1,-0.088,-7.697,0.009
TcChr04b01792.t2,-0.042,-7.603,0.005
TcChr04b01793.t1,0.007,-11.749,0.007
TcChr04b01794.t1,-0.036,-2.199,0.002
TcChr04b01795.t1,-0.018,-0.578,0.005
TcChr04b01796.t1,-0.046,-2.548,0.005
TcChr04b01798.t1,-0.03,-6.301,0.002
TcChr04b01799.t1,-0.022,-3.606,0.002
TcChr04b01800.t1,-0.023,-5.501,0.003
TcChr04b01801.t1,-0.023,-5.289,0.003
TcChr04b01802.t1,-0.021,-4.254,0.002
TcChr04b01803.t1,-0.032,-4.754,0.008
TcChr04b01805.t1,-0.026,-36.966,0.006
TcChr04b01806.t1,-0.088,-3.191,0.01
TcChr04b01807.t1,-0.021,-3.201,0.003
TcChr04b01808.t1,-0.026,-7.271,0.004
TcChr04b01809.t1,-0.031,-2.266,0.001
TcChr04b01810.t2,-0.023,-22.017,0.003
TcChr04b01811.t1,-0.041,-2.69,0.004
TcChr04b01812.t1,-0.05,-1.137,0.006
TcChr04b01813.t1,-0.026,-2.445,0.001
TcChr04b01814.t1,-0.064,-40.426,0.007
TcChr04b01815.t1,-0.005,-6.158,0.004
TcChr04b01817.t1,-0.024,-8.232,0.001
TcChr04b01818.t1,-0.019,-7.16,0.007
TcChr04b01819.t1,-0.031,-5.711,0.002
TcChr04b01820.t1,-0.065,-8.982,0.005
TcChr04b01821.t1,-0.058,-6.002,0.005
TcChr04b01822.t1,-0.035,-1.088,0.006
TcChr04b01823.t1,-0.029,-3.061,0.004
TcChr04b01824.t1,-0.027,-3.611,0.003
TcChr04b01825.t1,-0.031,-2.068,0.003
TcChr04b01826.t1,-0.026,-7.469,0.002
TcChr04b01828.t1,-0.035,-0.911,0.003
TcChr04b01829.t1,-0.033,-2.498,0.004
TcChr04b01830.t1,-0.017,-3.084,0.003
TcChr04b01831.t1,-0.045,-12.457,0.004
TcChr04b01832.t1,-0.026,-17.998,0.003
TcChr04b01833.t1,-0.055,-1.326,0.008
TcChr04b01767.t1,-0.028,-8.803,0.002
TcChr04b01773.t1,-0.031,-7.507,0.003
TcChr04b01780.t1,-0.052,-12.856,0.006
TcChr04b01786.t1,-0.023,-4.175,0.002
TcChr04b01792.t1,-0.045,-13.589,0.005
TcChr04b01797.t1,-0.035,-1.339,0.005
TcChr04b01804.t1,-0.05,-4.487,0.005
TcChr04b01810.t1,-0.03,-7.071,0.002
TcChr04b01816.t1,-0.026,-11.69,0.001
TcChr04b01821.t2,-0.049,-4.198,0.003
TcChr04b01835.t1,-0.04,-2.943,0.004
TcChr04b01836.t1,-0.03,-2.375,0.003
TcChr04b01837.t1,-0.029,-3.998,0.002
TcChr04b01838.t1,-0.035,-2.694,0.002
TcChr04b01839.t1,-0.02,-5.33,0.002
TcChr04b01841.t1,-0.025,-13.89,0.003
TcChr04b01842.t1,-0.021,-7.693,0.003
TcChr04b01843.t1,-0.025,-5.362,0.002
TcChr04b01843.t2,-0.033,-2.142,0.003
TcChr04b01844.t1,-0.028,-6.273,0.002
TcChr04b01846.t1,-0.053,-2.246,0.006
TcChr04b01847.t1,-0.052,-1.501,0.007
TcChr04b01848.t1,-0.044,-1.177,0.004
TcChr04b01849.t1,-0.041,-0.761,0.008
TcChr04b01850.t1,-0.043,-1.427,0.005
TcChr04b01865.t1,-0.045,-0.656,0.006
TcChr04b01866.t1,-0.039,-3.791,0.008
TcChr04b01867.t1,-0.035,-32.28,0.008
TcChr04b01868.t1,-0.039,-0.103,0.004
TcChr04b01869.t1,-0.041,-8.33,0.01
TcChr04b01870.t1,-0.033,-3.119,0.004
TcChr04b01872.t1,-0.006,-11.357,0.006
TcChr04b01873.t1,-0.027,-3.087,0.002
TcChr04b01874.t1,-0.058,-0.951,0.006
TcChr04b01875.t1,-0.033,-6.064,0.003
TcChr04b01876.t1,-0.032,-6.508,0.002
TcChr04b01878.t1,-0.029,-18.55,0.003
TcChr04b01878.t2,-0.027,-36.509,0.004
TcChr04b01879.t1,-0.032,-8.636,0.002
TcChr04b01880.t1,-0.051,-7.194,0.004
TcChr04b01881.t1,-0.04,-2.058,0.002
TcChr04b01883.t1,-0.022,-199.701,0.011
TcChr04b01884.t1,-0.054,-11.724,0.003
TcChr04b01885.t1,-0.041,-1.308,0.003
TcChr04b01886.t1,-0.071,-1.235,0.007
TcChr04b01887.t1,-0.039,-2.048,0.004
TcChr04b01889.t1,-0.02,-6.033,0.003
TcChr04b01890.t1,-0.018,-19.726,0.001
TcChr04b01891.t1,-0.069,-2.241,0.01
TcChr04b01892.t1,-0.023,-3.156,0.003
TcChr04b01893.t1,-0.031,-2.447,0.006
TcChr04b01894.t1,-0.053,-1.504,0.006
TcChr04b01896.t1,-0.022,-5.449,0.004
TcChr04b01897.t1,-0.023,-2.305,0.002
TcChr04b01898.t1,-0.029,-6.718,0.005
TcChr04b01899.t1,-0.081,-14.948,0.009
TcChr04b01900.t1,-0.069,-16.082,0.006
TcChr04b01902.t1,-0.071,-0.306,0.013
TcChr04b01903.t1,-0.076,-1.064,0.015
TcChr04b01904.t1,-0.069,-0.608,0.02
TcChr04b01905.t1,-0.082,-0.819,0.022
TcChr04b01906.t1,-0.039,-2.844,0.005
TcChr04b01908.t1,-0.029,-2.415,0.004
TcChr04b01909.t1,-0.018,-6.359,0.004
TcChr04b01910.t1,-0.029,-3.04,0.003
TcChr04b01911.t1,-0.079,-0.288,0.015
TcChr04b01912.t1,-0.024,-1.097,0.003
TcChr04b01913.t1,-0.062,-6.458,0.013
TcChr04b01834.t1,-0.04,-3.553,0.007
TcChr04b01840.t1,-0.03,-2.205,0.002
TcChr04b01845.t1,-0.023,-3.369,0.001
TcChr04b01851.t1,-0.03,-4.41,0.004
TcChr04b01857.t1,-0.058,-0.526,0.007
TcChr04b01864.t1,-0.052,-1.488,0.005
TcChr04b01871.t1,-0.031,-7.295,0.002
TcChr04b01877.t1,-0.029,-5.48,0.003
TcChr04b01882.t1,-0.032,-3.35,0.001
TcChr04b01888.t1,-0.04,-1.064,0.005
TcChr04b01895.t1,-0.03,-1.692,0.003
TcChr04b01901.t1,-0.071,-0.185,0.016
TcChr04b01915.t1,-0.062,-11.182,0.005
TcChr04b01915.t2,-0.052,-19.458,0.006
TcChr04b01916.t1,-0.041,-0.358,0.004
TcChr04b01917.t1,-0.038,-3.764,0.003
TcChr04b01918.t1,-0.039,-7.065,0.002
TcChr04b01920.t1,-0.023,-3.201,0.001
TcChr04b01921.t1,-0.048,-1.293,0.006
TcChr04b01922.t1,-0.043,-9.524,0.003
TcChr04b01923.t1,-0.026,-8.278,0.004
TcChr04b01924.t1,-0.027,-1.941,0.003
TcChr04b01940.t1,-0.034,-3.179,0.002
TcChr04b01941.t1,-0.035,-0.973,0.003
TcChr04b01942.t1,-0.02,-5.785,0.003
TcChr04b01943.t1,-0.041,-2.935,0.004
TcChr04b01944.t1,-0.022,-4.176,0.003
TcChr04b01946.t1,-0.02,-5.695,0.004
TcChr04b01947.t1,-0.041,-1.515,0.004
TcChr04b01948.t1,-0.022,-6.969,0.002
TcChr04b01949.t1,-0.024,-4.298,0.003
TcChr04b01950.t1,-0.024,-4.757,0.002
TcChr04b01952.t1,-0.015,-5.249,0.003
TcChr04b01953.t1,-0.03,-2.361,0.002
TcChr04b01953.t2,-0.03,-2.641,0.002
TcChr04b01953.t3,-0.026,-2.649,0.002
TcChr04b01954.t1,-0.026,-3.423,0.002
TcChr04b01956.t1,-0.051,-12.092,0.004
TcChr04b01957.t1,-0.032,-5.895,0.002
TcChr04b01958.t1,-0.036,-3.597,0.005
TcChr04b01959.t1,-0.038,-1.256,0.004
TcChr04b01960.t1,-0.026,-3.173,0.004
TcChr04b01962.t1,-0.024,-16.161,0.002
TcChr04b01963.t1,-0.057,-0.537,0.007
TcChr04b01964.t1,-0.078,-0.968,0.01
TcChr04b01965.t1,-0.042,-3.737,0.007
TcChr04b01966.t1,-0.042,-3.765,0.008
TcChr04b01968.t1,-0.058,-1.503,0.01
TcChr04b01969.t1,-0.075,-0.513,0.011
TcChr04b01970.t1,-0.059,-2.504,0.007
TcChr04b01971.t1,-0.054,-2.201,0.005
TcChr04b01972.t1,-0.07,-1.642,0.01
TcChr04b01974.t1,-0.071,-0.633,0.009
TcChr04b01975.t1,-0.038,-2.774,0.003
TcChr04b01976.t1,-0.028,-3.531,0.002
TcChr04b01977.t1,-0.043,-1.238,0.008
TcChr04b01978.t1,-0.054,-5.648,0.009
TcChr04b01980.t1,-0.022,-3.102,0.002
TcChr04b01981.t1,-0.018,-4.859,0.004
TcChr04b01982.t1,-0.02,-5.84,0.003
TcChr04b01983.t1,-0.042,-0.334,0.009
TcChr04b01984.t1,-0.055,-0.487,0.007
TcChr04b01986.t1,-0.042,-0.229,0.004
TcChr04b01987.t1,-0.041,-0.209,0.004
TcChr04b01988.t1,-0.043,-0.229,0.005
TcChr04b01989.t1,-0.05,-0.149,0.006
TcChr04b01990.t1,-0.045,-0.689,0.006
TcChr04b01914.t1,-0.028,-8.554,0.002
TcChr04b01919.t1,-0.041,-1.118,0.003
TcChr04b01925.t1,-0.044,-6.707,0.004
TcChr04b01931.t1,-0.036,-12.125,0.003
TcChr04b01939.t1,-0.053,-1.033,0.006
TcChr04b01945.t1,-0.033,-2.904,0.003
TcChr04b01951.t1,-0.012,-6.394,0.004
TcChr04b01955.t1,-0.056,-3.585,0.007
TcChr04b01961.t1,-0.083,-0.735,0.01
TcChr04b01967.t1,-0.05,-3.522,0.009
TcChr04b01973.t1,-0.052,-0.97,0.006
TcChr04b01979.t1,-0.027,-5.356,0.003
TcChr04b01992.t1,-0.028,-2.068,0.002
TcChr04b01993.t1,-0.02,-6.205,0.002
TcChr04b01994.t1,-0.064,-2.023,0.006
TcChr04b01995.t1,-0.05,-1.605,0.006
TcChr04b01996.t1,-0.021,-10.008,0.002
TcChr04b01998.t1,-0.027,-3.674,0.002
TcChr04b01999.t1,-0.046,-4.445,0.003
TcChr04b02000.t1,-0.067,-3.999,0.007
TcChr04b02001.t1,-0.059,-4.354,0.006
TcChr04b02002.t1,-0.026,-7.051,0.005
TcChr04b02004.t1,-0.026,-6.637,0.003
TcChr04b02005.t1,-0.028,-2.951,0.003
TcChr04b02006.t1,-0.02,-5.078,0.002
TcChr04b02007.t1,-0.012,-10.602,0.004
TcChr04b02008.t1,-0.03,-1.89,0.003
TcChr04b02010.t1,-0.033,-1.331,0.006
TcChr04b02011.t1,-0.015,-37.064,0.004
TcChr04b02011.t2,-0.019,-23.287,0.003
TcChr04b02012.t1,-0.033,-3.999,0.002
TcChr04b02013.t1,-0.039,-3.437,0.004
TcChr04b02014.t2,-0.019,-4.67,0.002
TcChr04b02015.t1,-0.052,-4.994,0.006
TcChr04b02016.t1,-0.075,-6.012,0.008
TcChr04b02017.t1,-0.044,-7.475,0.004
TcChr04b02018.t1,-0.036,-1.656,0.003
TcChr04b02020.t1,-0.023,-5.567,0.002
TcChr04b02021.t1,-0.029,-7.592,0.003
TcChr04b02022.t1,-0.026,-9.762,0.004
TcChr04b02023.t1,-0.026,-9.593,0.004
TcChr04b02024.t1,-0.024,-2.53,0.001
TcChr04b02026.t1,-0.065,-1.51,0.01
TcChr04b02027.t1,-0.076,-2.134,0.006
TcChr04b02028.t1,-0.088,-3.218,0.012
TcChr04b02029.t1,-0.097,-12.11,0.011
TcChr04b02030.t1,-0.067,-1.711,0.015
TcChr04b02032.t1,-0.072,-0.21,0.015
TcChr04b02033.t1,-0.014,-8.679,0.01
TcChr04b02034.t1,-0.019,-5.304,0.002
TcChr04b02035.t1,-0.081,-1.211,0.017
TcChr04b02036.t1,-0.056,-0.232,0.012
TcChr04b02038.t1,-0.026,-5.144,0.005
TcChr04b02039.t1,-0.023,-2.733,0.003
TcChr04b02040.t1,-0.021,-3.771,0.003
TcChr04b02041.t1,-0.022,-2.089,0.003
TcChr04b02042.t1,-0.023,-3.087,0.003
TcChr04b02044.t1,-0.016,-4.004,0.003
TcChr04b02045.t1,-0.024,-2.732,0.002
TcChr04b02045.t2,-0.034,-3.766,0.003
TcChr04b02046.t1,-0.021,-4.131,0.004
TcChr04b02047.t1,-0.033,-2.665,0.003
TcChr04b02049.t1,-0.013,-5.38,0.004
TcChr04b02050.t1,-0.014,-8.741,0.005
TcChr04b02051.t1,-0.016,-2.864,0.003
TcChr04b02052.t1,-0.018,-1.896,0.003
TcChr04b02053.t1,-0.025,-2.475,0.003
TcChr04b01991.t1,-0.052,-5.996,0.006
TcChr04b01997.t1,-0.037,-2.205,0.003
TcChr04b02003.t1,-0.033,-3.553,0.003
TcChr04b02009.t1,-0.029,-1.906,0.004
TcChr04b02014.t1,-0.021,-4.187,0.002
TcChr04b02019.t1,-0.033,-2.297,0.004
TcChr04b02025.t1,-0.031,-1.879,0.002
TcChr04b02031.t1,-0.064,-2.554,0.012
TcChr04b02037.t1,-0.069,-0.426,0.016
TcChr04b02043.t1,-0.024,-3.114,0.003
TcChr04b02055.t1,-0.019,-1.784,0.002
TcChr04b02056.t1,-0.013,-3.526,0.003
TcChr04b02057.t1,-0.013,-3.895,0.004
TcChr04b02058.t1,-0.011,-3.93,0.003
TcChr04b02059.t1,-0.047,-3.583,0.004
TcChr04b02061.t1,-0.074,-13.27,0.006
TcChr04b02062.t1,-0.065,-6.492,0.005
TcChr04b02063.t1,-0.021,-3.868,0.004
TcChr04b02064.t1,-0.042,-0.946,0.004
TcChr04b02065.t1,-0.023,-2.492,0.002
TcChr04b02067.t1,-0.037,-1.121,0.003
TcChr04b02068.t1,-0.036,-50.457,0.007
TcChr04b02068.t2,-0.034,-56.26,0.007
TcChr04b02069.t1,-0.024,-17.779,0.002
TcChr04b02070.t1,-0.045,-4.938,0.006
TcChr04b02072.t1,-0.031,-7.672,0.006
TcChr04b02073.t1,-0.052,-2.207,0.006
TcChr04b02074.t1,-0.042,-2.426,0.005
TcChr04b02075.t1,-0.044,-0.888,0.006
TcChr04b02076.t1,-0.039,-4.236,0.003
TcChr04b02078.t1,-0.061,-6.326,0.006
TcChr04b02079.t1,-0.038,-2.331,0.006
TcChr04b02080.t1,-0.028,-2.043,0.002
TcChr04b02081.t1,-0.028,-3.848,0.003
TcChr04b02082.t1,-0.01,-8.786,0.006
TcChr04b02084.t1,-0.031,-8.295,0.002
TcChr04b02085.t1,-0.061,-0.731,0.01
TcChr04b02086.t1,-0.059,-1.406,0.006
TcChr04b02087.t1,-0.049,-5.18,0.004
TcChr04b02088.t1,-0.022,-1.039,0.002
TcChr04b02103.t1,-0.042,-4.707,0.007
TcChr04b02104.t1,-0.027,-1.14,0.003
TcChr04b02105.t1,-0.028,-11.975,0.002
TcChr04b02106.t1,-0.063,-21.852,0.009
TcChr04b02107.t1,-0.034,-2.672,0.003
TcChr04b02109.t1,-0.061,-1.407,0.009
TcChr04b02110.t1,-0.03,-5.693,0.002
TcChr04b02111.t1,-0.035,-3.169,0.003
TcChr04b02112.t1,-0.03,-3.296,0.004
TcChr04b02113.t1,-0.019,-2.175,0.003
TcChr04b02115.t1,-0.027,-2.395,0.004
TcChr04b02116.t1,-0.026,-2.427,0.004
TcChr04b02117.t1,-0.024,-2.45,0.003
TcChr04b02118.t1,-0.029,-2.015,0.004
TcChr04b02119.t1,-0.03,-2.106,0.004
TcChr04b02120.t1,-0.027,-1.309,0.002
TcChr04b02122.t1,-0.018,-4.345,0.002
TcChr04b02123.t1,-0.031,-2.434,0.003
TcChr04b02124.t1,-0.031,-4.206,0.003
TcChr04b02125.t1,-0.027,-3.845,0.002
TcChr04b02126.t1,-0.033,-5.67,0.003
TcChr04b02128.t1,-0.074,-6.811,0.006
TcChr04b02129.t1,-0.027,-6.979,0.002
TcChr04b02130.t1,-0.048,-4.234,0.003
TcChr04b02131.t1,-0.023,-3.811,0.002
TcChr04b02132.t1,0.108,-535.376,0.02
TcChr04b02054.t1,-0.02,-10.025,0.003
TcChr04b02060.t1,-0.061,-5.188,0.005
TcChr04b02066.t1,-0.067,-2.996,0.008
TcChr04b02071.t1,-0.05,-3.781,0.007
TcChr04b02077.t1,-0.04,-1.69,0.008
TcChr04b02083.t1,-0.031,-19.668,0.004
TcChr04b02089.t1,-0.025,-2.368,0.002
TcChr04b02095.t1,-0.023,-4.189,0.001
TcChr04b02102.t1,-0.038,-3.9,0.005
TcChr04b02108.t1,-0.066,-2.35,0.007
TcChr04b02114.t1,-0.029,-3.223,0.004
TcChr04b02121.t1,-0.024,-6.371,0.001
TcChr04b01229.t1,-0.055,-2.195,0.005
TcChr04b01316.t1,-0.027,-4.444,0.003
TcChr04b01385.t1,-0.057,-3.433,0.009
TcChr04b01510.t1,-0.033,-3.171,0.004
TcChr04b01589.t1,-0.069,-0.651,0.013
TcChr04b01676.t1,-0.019,-10.613,0.003
TcChr04b01761.t1,-0.058,-0.484,0.01
TcChr04b01827.t1,-0.026,-5.508,0.002
TcChr04b01907.t1,-0.019,-17.581,0.005
TcChr04b01985.t1,-0.055,-0.102,0.005
TcChr04b02133.t1,-0.04,-2.028,0.004
TcChr04b02134.t1,-0.025,-7.941,0.002
TcChr04b02135.t1,-0.017,-6.822,0.002
TcChr04b02136.t1,-0.023,-4.433,0.002
TcChr04b02137.t1,-0.032,-6.877,0.002
TcChr04b02139.t1,-0.08,-7.763,0.009
TcChr04b02140.t1,-0.033,-3.142,0.002
TcChr04b02141.t1,-0.022,-2.818,0.001
TcChr04b02142.t1,-0.019,-3.822,0.001
TcChr04b02143.t1,-0.024,-8.536,0.002
TcChr04b02145.t1,-0.03,-1.353,0.003
TcChr04b02146.t1,-0.026,-16.14,0.002
TcChr04b02147.t1,-0.019,-9.306,0.004
TcChr04b02148.t1,-0.03,-1.278,0.002
TcChr04b02149.t1,-0.028,-8.559,0.004
TcChr04b02164.t1,-0.027,-5.694,0.002
TcChr04b02165.t1,-0.031,-3.261,0.002
TcChr04b02166.t1,-0.069,-38.364,0.007
TcChr04b02167.t1,-0.04,-11.35,0.002
TcChr04b02168.t1,-0.043,-2.283,0.003
TcChr04b02168.t2,-0.035,-9.758,0.004
TcChr04b02170.t1,-0.047,-68.668,0.007
TcChr04b02171.t1,-0.027,-22.528,0.004
TcChr04b02172.t1,-0.039,-2.614,0.004
TcChr04b02173.t1,-0.043,-1.584,0.003
TcChr04b02174.t1,-0.026,-3.884,0.002
TcChr04b02176.t1,-0.019,-3.164,0.002
TcChr04b02177.t1,-0.07,-0.217,0.008
TcChr04b02178.t1,-0.029,-2.4,0.002
TcChr04b02179.t1,-0.027,-2.534,0.002
TcChr04b02180.t1,-0.038,-16.217,0.008
TcChr04b02181.t1,-0.018,-9.045,0.002
TcChr04b02182.t1,-0.022,-5.936,0.002
TcChr04b02183.t1,-0.049,-12.526,0.005
TcChr04b02184.t1,-0.053,-5.111,0.01
TcChr04b02185.t1,-0.059,-1.455,0.007
TcChr04b02187.t1,-0.029,-3.709,0.002
TcChr04b02187.t2,-0.027,-4.543,0.003
TcChr04b02187.t3,-0.029,-4.098,0.002
TcChr04b02188.t1,-0.026,-3.272,0.002
TcChr04b02189.t1,-0.025,-10.065,0.003
TcChr04b02191.t1,-0.049,-1.567,0.005
TcChr04b02192.t1,-0.026,-0.842,0.004
TcChr04b02193.t1,-0.025,-1.019,0.006
TcChr04b02194.t1,-0.031,-1.159,0.006
TcChr04b02195.t1,-0.024,-0.897,0.004
TcChr04b02197.t1,-0.021,-1.028,0.003
TcChr04b02198.t1,-0.027,-0.878,0.004
TcChr04b02199.t1,-0.027,-0.883,0.006
TcChr04b02200.t1,-0.023,-6.843,0.002
TcChr04b02201.t1,-0.014,-17.286,0.003
TcChr04b02203.t1,-0.027,-8.762,0.002
TcChr04b02204.t1,-0.076,-53.115,0.008
TcChr04b02205.t1,-0.008,-38.249,0.004
TcChr04b02206.t1,-0.038,-2.265,0.007
TcChr04b02207.t1,-0.036,-7.03,0.004
TcChr04b02132.t2,0.113,-537.732,0.022
TcChr04b02138.t1,-0.021,-6.64,0.003
TcChr04b02144.t1,-0.02,-7.092,0.004
TcChr04b02150.t1,-0.031,-13.182,0.003
TcChr04b02155.t1,-0.028,-3.255,0.002
TcChr04b02163.t1,-0.037,-3.176,0.002
TcChr04b02169.t1,-0.041,-1.274,0.005
TcChr04b02175.t1,-0.049,-5.694,0.012
TcChr04b02180.t2,-0.04,-17.097,0.006
TcChr04b02186.t1,-0.028,-6.158,0.003
TcChr04b02190.t1,-0.062,-19.536,0.005
TcChr04b02196.t1,-0.024,-0.917,0.004
TcChr04b02220.t1,0.03,-289.266,0.012
TcChr04b02221.t1,-0.051,-1.415,0.003
TcChr04b02222.t1,-0.051,-6.814,0.004
TcChr04b02223.t1,-0.052,-10.092,0.005
TcChr04b02224.t1,-0.02,-11.396,0.002
TcChr04b02226.t1,-0.017,-13.096,0.002
TcChr04b02227.t1,-0.062,-16.225,0.005
TcChr04b02228.t1,-0.032,-4.33,0.002
TcChr04b02229.t1,-0.027,-3.916,0.002
TcChr04b02230.t1,-0.028,-1.86,0.002
TcChr04b02232.t1,-0.089,-2.082,0.018
TcChr04b02233.t1,-0.065,-0.484,0.014
TcChr04b02234.t1,-0.026,-6.043,0.005
TcChr04b02235.t1,-0.024,-5.315,0.002
TcChr04b02236.t1,-0.028,-1.705,0.002
TcChr04b02238.t1,-0.029,-2.052,0.002
TcChr04b02239.t1,-0.05,-3.15,0.007
TcChr04b02240.t1,-0.031,-1.495,0.002
TcChr04b02241.t1,-0.025,-6.219,0.002
TcChr04b02242.t1,-0.04,-6.127,0.003
TcChr04b02244.t1,-0.035,-39.781,0.009
TcChr04b02245.t1,-0.023,-8.445,0.004
TcChr04b02246.t1,-0.021,-5.425,0.004
TcChr04b02247.t1,-0.022,-13.869,0.003
TcChr04b02248.t1,-0.055,-5.702,0.008
TcChr04b02250.t1,-0.028,-3.815,0.003
TcChr04b02251.t1,-0.049,-4.154,0.007
TcChr04b02252.t1,-0.03,-4.74,0.004
TcChr04b02253.t1,-0.024,-4.183,0.002
TcChr04b02254.t1,-0.024,-4.266,0.003
TcChr04b02256.t1,-0.026,-7.404,0.003
TcChr04b02257.t1,-0.026,-4.296,0.003
TcChr04b02258.t1,-0.02,-4.7,0.003
TcChr04b02259.t1,-0.013,-29.264,0.006
TcChr04b02260.t1,-0.032,-5.111,0.004
TcChr04b02262.t1,-0.031,-3.929,0.003
TcChr04b02263.t1,-0.026,-4.208,0.003
TcChr04b02264.t1,-0.004,-8.714,0.004
TcChr04b02265.t1,-0.033,-4.382,0.004
TcChr04b02266.t1,-0.033,-4.326,0.003
TcChr04b02268.t1,-0.028,-5.378,0.003
TcChr04b02269.t1,-0.031,-17.26,0.002
TcChr04b02270.t1,-0.024,-8.42,0.002
TcChr04b02271.t1,-0.035,-16.673,0.005
TcChr04b02272.t1,-0.041,-3.388,0.003
TcChr04b02274.t1,-0.038,-10.797,0.003
TcChr04b02275.t1,-0.036,-1.483,0.002
TcChr04b02276.t1,-0.069,-36.016,0.007
TcChr04b02277.t1,-0.027,-3.242,0.001
TcChr04b02278.t1,-0.056,-2.167,0.009
TcChr04b02280.t1,-0.028,-4.038,0.002
TcChr04b02281.t1,-0.027,-3.763,0.002
TcChr04b02282.t1,-0.022,-6.331,0.002
TcChr04b02283.t1,-0.028,-10.281,0.002
TcChr04b02284.t1,-0.025,-4.811,0.004
TcChr04b02208.t1,-0.077,-0.95,0.006
TcChr04b02213.t1,-0.021,-0.675,0.002
TcChr04b02219.t1,-0.039,-16.149,0.003
TcChr04b02225.t1,-0.028,-3.636,0.002
TcChr04b02231.t1,-0.026,-1.68,0.002
TcChr04b02237.t1,-0.031,-1.674,0.002
TcChr04b02243.t1,-0.035,-5.573,0.004
TcChr04b02249.t1,-0.039,-6.534,0.005
TcChr04b02255.t1,-0.015,-4.047,0.004
TcChr04b02261.t1,-0.029,-5.518,0.004
TcChr04b02267.t1,-0.028,-4.953,0.002
TcChr04b02273.t1,-0.035,-10.457,0.005
TcChr04b02297.t1,-0.028,-4.965,0.002
TcChr04b02298.t1,-0.052,-12.795,0.006
TcChr04b02299.t1,-0.022,-13.68,0.002
TcChr04b02300.t1,-0.067,-6.871,0.007
TcChr04b02300.t2,-0.061,-6.012,0.007
TcChr04b02301.t1,-0.024,-5.274,0.002
TcChr04b02302.t1,-0.08,-1.228,0.012
TcChr04b02303.t1,-0.032,-0.329,0.003
TcChr04b02304.t1,-0.026,-1.528,0.005
TcChr04b02305.t1,-0.044,-1.331,0.004
TcChr04b02307.t1,-0.041,-15.598,0.003
TcChr04b02308.t1,-0.017,-5.715,0.007
TcChr04b02309.t1,-0.035,-2.155,0.002
TcChr04b02309.t2,-0.035,-2.078,0.002
TcChr04b02310.t1,-0.049,-2.231,0.005
TcChr04b02312.t1,-0.025,-5.642,0.002
TcChr04b02313.t1,-0.033,-3.215,0.002
TcChr04b02314.t1,-0.036,-6.986,0.003
TcChr04b02315.t1,-0.021,-3.416,0.002
TcChr04b02316.t1,-0.035,-5.909,0.003
TcChr04b02318.t1,-0.036,-4.661,0.002
TcChr04b02319.t1,-0.035,-0.516,0.003
TcChr04b02320.t1,-0.03,-3.28,0.003
TcChr04b02321.t1,-0.028,-3.802,0.002
TcChr04b02322.t1,-0.038,-4.811,0.003
TcChr04b02324.t1,-0.027,-4.54,0.004
TcChr04b02325.t1,-0.06,-10.941,0.009
TcChr04b02326.t1,-0.035,-1.882,0.003
TcChr04b02327.t1,-0.018,-18.203,0.002
TcChr04b02328.t1,-0.024,-8.17,0.002
TcChr04b02329.t1,-0.025,-1.364,0.003
TcChr04b02330.t1,-0.047,-0.727,0.01
TcChr04b02331.t1,-0.035,-2.578,0.005
TcChr04b02332.t1,-0.037,-3.392,0.003
TcChr04b02333.t1,-0.028,-4.142,0.002
TcChr04b02335.t1,-0.018,-11.5,0.001
TcChr04b02336.t1,-0.048,-3.839,0.005
TcChr04b02337.t1,-0.066,-0.494,0.009
TcChr04b02338.t1,-0.021,-6.393,0.002
TcChr04b02339.t1,-0.021,-10.778,0.004
TcChr04b02340.t1,-0.002,-7.684,0.005
TcChr04b02342.t1,-0.037,-1.786,0.005
TcChr04b02343.t1,-0.063,-2.153,0.006
TcChr04b02344.t1,-0.038,-8.092,0.004
TcChr04b02345.t1,-0.063,-15.619,0.004
